Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Experiment Name,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
5,B,1,B1,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
2,C,1,C1,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
6,D,1,D1,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
3,E,1,E1,0,95,2,,,escalate_MathematicaUniformRandom_1.1,escalate,,
7,F,1,F1,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
4,G,1,G1,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
8,H,1,H1,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
9,A,2,A2,0,95,2,,,escalate_MathematicaUniformRandom_1.1,escalate,,
13,B,2,B2,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
10,C,2,C2,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
14,D,2,D2,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
11,E,2,E2,0,95,3,,,escalate_MathematicaUniformRandom_1.1,escalate,,
15,F,2,F2,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
12,G,2,G2,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
16,H,2,H2,0,95,2,,,escalate_MathematicaUniformRandom_1.1,escalate,,
17,A,3,A3,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
21,B,3,B3,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
18,C,3,C3,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
22,D,3,D3,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
19,E,3,E3,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
23,F,3,F3,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
20,G,3,G3,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
24,H,3,H3,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
25,A,4,A4,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
29,B,4,B4,0,95,2,,,escalate_MathematicaUniformRandom_1.1,escalate,,
26,C,4,C4,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
30,D,4,D4,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
27,E,4,E4,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
31,F,4,F4,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
28,G,4,G4,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
32,H,4,H4,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
33,A,5,A5,0,95,1,,,escalate_MathematicaUniformRandom_1.1,escalate,,
